Par,9274,290432,1084062,17516,1213359,152720,21320,15601,70569,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tocantins,146,3369,10107,115,6552,2949,628,387,1590,140,3299,5842,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,23362.0
Abaetetuba,15,363,1089,100,5700,2565,75,45,203,5,131,236,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,90.0
Acará,5,121,363,-,-,-,50,35,172,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,50.0
Baião,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,800.0
Barcarena,20,486,1458,5,290,131,50,30,138,5,110,209,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,300.0
Cametá,16,192,576,-,-,-,180,108,324,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,264.0
Igarapé-Miri,5,122,366,10,562,253,18,12,54,5,108,194,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,40.0
Limoeiro do Ajuru,5,85,255,-,-,-,5,2,5,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,18.0
Mocajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,3000.0
Moju,50,1250,3750,-,-,-,50,35,154,50,1075,1828,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,800.0
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,18000.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,477562,
RI Tocantins,146,3369,10107,115,6552,2949,628,387,1590,140,3299,5842,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,57192.0
Abaetetuba,15,363,1089,100,5700,2565,75,45,203,5,131,236,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,207.0
Acará,5,121,363,-,-,-,50,35,172,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,146.0
Baião,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,1682.0
Barcarena,20,486,1458,5,290,131,50,30,138,5,110,209,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,690.0
Cametá,16,192,576,-,-,-,180,108,324,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,211.0
Igarapé-Miri,5,122,366,10,562,253,18,12,54,5,108,194,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,92.0
Limoeiro do Ajuru,5,85,255,-,-,-,5,2,5,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,14.0
Mocajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,1800.0
Moju,50,1250,3750,-,-,-,50,35,154,50,1075,1828,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,2400.0
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,49950.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1759249,
RI Tocantins,146,3369,10107,115,6552,2949,628,387,1590,140,3299,5842,17500,52500,113715,0,0,0,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,58377.0
Abaetetuba,15,363,1089,100,5700,2565,75,45,203,5,131,236,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,207.0
Acará,5,121,363,-,-,-,50,35,172,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,219.0
Baião,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,2187.0
Barcarena,20,486,1458,5,290,131,50,30,138,5,110,209,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,690.0
Cametá,16,192,576,-,-,-,180,108,324,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,274.0
Igarapé-Miri,5,122,366,10,562,253,18,12,54,5,108,194,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,92.0
Limoeiro do Ajuru,5,85,255,-,-,-,5,2,5,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,18.0
Mocajuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,2340.0
Moju,50,1250,3750,-,-,-,50,35,154,50,1075,1828,-,-,-,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,2400.0
Tailândia,30,750,2250,-,-,-,200,120,540,75,1875,3375,17500,52500,113715,-,-,-,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,49950.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,12 Tocantins,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri tocantins.xlsx",Tocantins,1562172,
