Par,137,97,1871,204611,3130177,2229561,15091,261114,426150,4729,74442,90615,1089,16329,43398,1646,16122,63855,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tocantins,71,46,825,104040,1694584,1176301,235,3287,3978,133,1611,2262,125,1911,5653,132,1345,3335,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,4904.0
Abaetetuba,20,16,245,2000,30000,22500,30,435,522,10,121,145,-,-,-,20,211,528,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,20.0
Acará,-,-,-,20000,304000,227541,40,480,622,50,508,818,5,80,160,12,114,228,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,1000.0
Baião,30,15,300,40,600,480,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,1900.0
Barcarena,-,-,-,-,-,-,45,675,878,10,122,159,20,331,993,10,95,266,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,20.0
Cametá,16,10,200,-,-,-,20,300,300,23,360,540,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,625.0
Igarapé-Miri,-,-,-,-,-,-,10,145,174,40,500,600,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,40.0
Limoeiro do Ajuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,9.0
Mocajuba,-,-,-,-,-,-,10,100,100,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,1000.0
Moju,5,5,80,21000,417900,313425,80,1152,1382,-,-,-,50,750,2250,50,485,1213,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,140.0
Tailândia,-,-,-,61000,942084,612355,-,-,-,-,-,-,50,750,2250,40,440,1100,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,150.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,18515,
RI Tocantins,71,46,825,104040,1694584,1176301,235,3287,3978,133,1611,2262,125,1911,5653,132,1345,3335,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,10567.0
Abaetetuba,20,16,245,2000,30000,22500,30,435,522,10,121,145,-,-,-,20,211,528,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,41.0
Acará,-,-,-,20000,304000,227541,40,480,622,50,508,818,5,80,160,12,114,228,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,2200.0
Baião,30,15,300,40,600,480,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,3829.0
Barcarena,-,-,-,-,-,-,45,675,878,10,122,159,20,331,993,10,95,266,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,41.0
Cametá,16,10,200,-,-,-,20,300,300,23,360,540,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,1736.0
Igarapé-Miri,-,-,-,-,-,-,10,145,174,40,500,600,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,82.0
Limoeiro do Ajuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,18.0
Mocajuba,-,-,-,-,-,-,10,100,100,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,2015.0
Moju,5,5,80,21000,417900,313425,80,1152,1382,-,-,-,50,750,2250,50,485,1213,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,288.0
Tailândia,-,-,-,61000,942084,612355,-,-,-,-,-,-,50,750,2250,40,440,1100,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,317.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,41560,
RI Tocantins,71,46,825,104040,1694584,1176301,235,3287,3978,133,1611,2262,125,1911,5653,132,1345,3335,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,307263.0
Abaetetuba,20,16,245,2000,30000,22500,30,435,522,10,121,145,-,-,-,20,211,528,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,1230.0
Acará,-,-,-,20000,304000,227541,40,480,622,50,508,818,5,80,160,12,114,228,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,66000.0
Baião,30,15,300,40,600,480,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,103383.0
Barcarena,-,-,-,-,-,-,45,675,878,10,122,159,20,331,993,10,95,266,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,1230.0
Cametá,16,10,200,-,-,-,20,300,300,23,360,540,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,53816.0
Igarapé-Miri,-,-,-,-,-,-,10,145,174,40,500,600,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,2460.0
Limoeiro do Ajuru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,544.0
Mocajuba,-,-,-,-,-,-,10,100,100,-,-,-,-,-,-,-,-,-,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,60450.0
Moju,5,5,80,21000,417900,313425,80,1152,1382,-,-,-,50,750,2250,50,485,1213,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,8640.0
Tailândia,-,-,-,61000,942084,612355,-,-,-,-,-,-,50,750,2250,40,440,1100,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,9510.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,12 Tocantins,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri tocantins.xlsx",Tocantins,1248357,
